Account address,Show boosts
rolle@mementomori.social, true
dude@mementomori.social, true
Milesizdead@mastodon.social, true
jaoler@suomi.social, true
mustikkasoppa@mementomori.social, true
menneisyytesi@mastodon.lol, true
piraatti@mastodo.fi, true
antti404@hypercube.masto.host, true
lindstorm@mstdn.social, true
jofistics@eliitin-some.fi, true
mjuhannus@mastodon.green, true
organik@piipitin.fi, true
jokke@cantina.tatooine.space, true
juusosnazarene@mastodo.fi, true
vallu@some.evvk.fi, true
taroturtiainen@mastodontti.fi, true
mz2@fosstodon.org, true
miiko@some.evvk.fi, true
Mikkotaneli@mastodontti.fi, true
kaltain@mastodontti.fi, true
AlderForrest@mastodontti.fi, true
tsaaritar@mastodon.green, true
mirppu@mastodontti.fi, true
erika@mastodontti.fi, true
ToniMassinen@mastodontti.fi, true
marko3@mastodontti.fi, true
marko@kaartinen.social, true
niksii@mastodontti.fi, true
reparaba@mastodontti.fi, true
samajoki@mastodontti.fi, true
tommi@jontka.fi, true
Setok@attractive.space, true
collectiveevil@suomi.social, true
ruttokoira@mastodontti.fi, true
jaanapt@masto.ai, true
mika@toot.haulo.fi, true
jan_a_o@piipitin.fi, true
HannaEsmeralda_@masto.ai, true
jukkajurvansuu@mastodontti.fi, true
lari@suomi.social, true
periegetes@saimaa.site, true
vittorio_fossofino@eliitin-some.fi, true
hanna@eliitin-some.fi, true
koomahi@masto.ai, true
eijalehtomaki@mastodontti.fi, true
josschuurmans@mastodontti.fi, true
